loan_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_date,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_util,total_acc,total_pymnt
LC000014,20000,17056.67,60 months,7.41,399.9,A,A3,8 years,MORTGAGE,82324.55,2021-09-28,Current,medical,PA,22.69,0,708,712,3,0,27.6,3,5740.32
LC000015,15000,14110.62,36 months,6.5,459.74,A,A2,2 years,OTHER,75843.25,2024-12-17,Current,auto,PA,17.76,0,600,604,13,0,10.3,26,209.85
LC000016,20000,20000,60 months,17.07,497.8,D,D3,1 year,RENT,90376.5,2020-07-21,Fully Paid,auto,WA,8.78,0,599,603,17,0,46.0,26,25205.34
LC000017,10000,10000,36 months,11.57,330.09,B,B5,9 years,RENT,99831.83,2022-11-23,Charged Off,vacation,FL,25.32,0,715,719,3,0,72.8,13,1140.47
LC000018,20000,20000,36 months,6.27,610.89,A,A4,4 years,MORTGAGE,67343.13,2023-09-09,Fully Paid,education,NJ,28.25,0,749,753,21,0,71.9,30,15305.9
LC000019,5000,5000,36 months,6.06,152.25,A,A4,3 years,MORTGAGE,68991.71,2018-12-14,Fully Paid,credit_card,NY,32.5,0,744,748,16,0,51.1,21,4536.77
LC000020,20000,20000,36 months,11.01,654.87,B,B2,3 years,RENT,91390.11,2022-10-08,Fully Paid,vacation,MA,18.99,0,655,659,22,0,86.0,25,24019.28
LC000021,30000,30000,60 months,8.33,613.04,A,A2,8 years,MORTGAGE,130321.35,2023-01-18,Fully Paid,auto,NC,26.44,1,838,842,15,0,89.6,30,20445.49
LC000022,25000,25000,60 months,9.68,527.25,B,B4,6 years,RENT,36047.86,2022-07-28,Fully Paid,moving,AZ,7.82,0,657,661,9,0,21.4,22,14184.3
LC000023,35000,17971.91,60 months,18.15,891.63,D,D1,8 years,OTHER,35746.46,2022-07-15,Current,moving,IL,33.0,0,692,696,17,0,2.9,27,4248.78
LC000024,40000,39998.16,36 months,12.73,1342.56,C,C1,< 1 year,MORTGAGE,32061.9,2020-10-30,Current,moving,CA,16.46,0,812,816,12,0,27.8,25,8398.66
LC000025,10000,10000,36 months,14.26,343.04,C,C1,6 years,MORTGAGE,42563.56,2021-06-28,Fully Paid,debt_consolidation,MI,29.48,0,768,772,7,1,71.8,12,5759.85
LC000026,20000,20000,60 months,16.41,490.73,D,D1,7 years,OWN,95440.97,2018-10-10,Charged Off,credit_card,CA,34.76,1,641,645,20,0,42.8,31,1266.47
LC000027,25000,25000,60 months,27.7,773.88,F,F4,9 years,MORTGAGE,82043.15,2018-12-21,Fully Paid,moving,GA,32.11,1,818,822,15,0,32.2,22,20809.95
LC000028,40000,40000,60 months,9.24,835.0,B,B1,7 years,MORTGAGE,59442.5,2023-06-25,Fully Paid,auto,TN,16.91,0,721,725,19,1,8.6,32,25512.38
LC000029,25000,25000,36 months,7.32,775.59,A,A3,5 years,MORTGAGE,27589.65,2021-01-14,Fully Paid,auto,FL,24.37,3,756,760,15,0,35.1,29,6086.64
LC000030,25000,19416.99,60 months,14.9,593.44,C,C2,< 1 year,RENT,21759.32,2018-02-27,Current,small_business,NC,23.36,1,724,728,5,0,36.1,14,8125.05
LC000031,30000,30000,36 months,5.65,907.91,A,A4,1 year,OTHER,41987.84,2019-09-14,Fully Paid,medical,NY,37.94,1,824,828,5,0,7.4,6,23090.63
LC000032,35000,35000,36 months,10.08,1130.67,B,B5,2 years,RENT,82625.63,2020-05-01,Charged Off,medical,NY,35.11,0,799,803,11,0,95.9,14,11591.84
LC000033,25000,25000,36 months,5.11,750.51,A,A4,2 years,OWN,53931.87,2022-10-08,Fully Paid,auto,IL,14.9,0,812,816,4,1,78.7,10,4642.3
LC000034,25000,22949.48,36 months,6.54,766.68,A,A3,10+ years,RENT,95210.5,2022-11-05,Current,medical,CA,15.64,0,786,790,10,0,8.0,11,7920.31
LC000035,15000,15000,60 months,26.82,456.42,F,F3,5 years,OWN,78911.67,2021-11-26,Charged Off,credit_card,FL,37.06,0,672,676,20,0,96.8,35,3704.81
LC000036,40000,40000,36 months,12.35,1335.27,C,C4,7 years,MORTGAGE,108861.28,2022-08-20,Fully Paid,vacation,VA,9.06,1,786,790,18,0,86.8,32,34019.62
LC000037,25000,25000,60 months,17.75,631.44,D,D2,10+ years,OWN,47575.09,2020-07-09,Default,home_improvement,MA,9.25,0,702,706,24,0,55.2,26,12482.15
LC000038,40000,25343.45,36 months,15.92,1404.7,C,C3,8 years,OWN,60504.55,2021-02-05,Current,education,NJ,24.29,2,776,780,8,0,87.8,10,39.01
LC000039,15000,15000,36 months,17.79,540.71,D,D5,7 years,RENT,73247.43,2024-05-31,Fully Paid,education,TX,16.64,2,773,777,16,0,98.0,23,14194.1
LC000040,5000,3346.4,60 months,16.5,122.92,D,D4,4 years,MORTGAGE,69827.87,2022-08-07,Current,small_business,NY,16.62,0,631,635,16,1,1.5,20,1390.84
LC000041,40000,40000,36 months,15.49,1396.23,C,C3,< 1 year,RENT,51502.28,2022-12-23,Fully Paid,medical,CA,7.39,0,727,731,9,0,9.8,12,18081.65
LC000042,15000,15000,36 months,9.09,477.62,B,B2,10+ years,OWN,41225.28,2023-02-26,Fully Paid,debt_consolidation,MA,35.48,2,703,707,17,0,46.1,25,11338.77
LC000043,35000,35000,36 months,7.99,1096.61,A,A3,4 years,MORTGAGE,56780.42,2021-01-29,Fully Paid,debt_consolidation,WI,18.35,0,763,767,20,0,2.2,32,36081.12
LC000044,25000,25000,60 months,10.87,541.94,B,B3,5 years,OWN,44461.83,2018-05-17,Fully Paid,small_business,NY,28.07,0,650,654,22,0,3.9,36,24924.43
LC000045,25000,17072.19,36 months,7.91,782.37,A,A2,8 years,OWN,47526.65,2019-07-31,Current,auto,WA,33.86,0,826,830,11,0,11.5,13,8099.2
LC000046,25000,25000,60 months,7.05,495.62,A,A5,4 years,OWN,35905.75,2024-11-03,Fully Paid,home_improvement,MA,37.91,0,635,639,23,0,88.3,33,21977.18
LC000047,40000,32313.04,36 months,5.41,1206.21,A,A1,7 years,MORTGAGE,103805.02,2024-08-02,Current,small_business,AZ,23.81,0,778,782,16,1,69.6,29,18206.2
LC000048,20000,20000,36 months,11.49,659.43,B,B3,3 years,MORTGAGE,38687.58,2019-01-11,Charged Off,debt_consolidation,TX,29.0,0,763,767,3,0,12.2,17,11865.85
LC000049,20000,20000,36 months,17.31,716.14,D,D2,3 years,RENT,43461.24,2019-12-16,Fully Paid,debt_consolidation,IL,36.52,1,581,585,10,0,13.0,18,16132.47
LC000050,40000,40000,36 months,6.57,1227.23,A,A3,6 years,OTHER,65380.25,2023-02-20,Fully Paid,debt_consolidation,TX,25.78,0,811,815,18,0,72.7,27,24461.13
LC000051,25000,17672.67,36 months,7.19,774.1,A,A4,3 years,MORTGAGE,66133.06,2019-04-14,Current,vacation,OH,29.93,0,775,779,21,0,60.5,24,8773.62
LC000052,25000,25000,36 months,9.81,804.45,B,B1,1 year,RENT,47387.64,2019-06-17,Fully Paid,vacation,MO,37.3,1,614,618,4,0,9.6,15,14824.26
LC000053,20000,20000,36 months,20.62,749.6,E,E4,10+ years,MORTGAGE,44289.9,2024-04-16,Default,vacation,CA,34.65,0,759,763,19,0,57.4,32,9953.53
LC000054,30000,30000,36 months,9.73,964.22,B,B2,5 years,RENT,26408.65,2022-03-21,Fully Paid,credit_card,PA,10.01,0,785,789,4,0,3.1,10,30966.08
LC000055,5000,5000,36 months,14.7,172.59,C,C1,10+ years,MORTGAGE,88379.9,2021-11-14,Fully Paid,medical,MD,28.17,0,828,832,21,0,75.4,24,2350.52
LC000056,10000,10000,60 months,8.53,205.31,B,B5,1 year,RENT,82362.81,2018-10-23,Fully Paid,debt_consolidation,AZ,11.15,0,774,778,19,0,83.3,30,11345.32
LC000057,25000,25000,36 months,12.46,835.86,C,C5,4 years,RENT,47675.88,2022-11-20,Charged Off,vacation,NY,16.37,2,815,819,24,0,84.4,31,11187.07
LC000058,20000,20000,36 months,11.67,661.14,B,B2,9 years,MORTGAGE,22232.14,2018-11-05,Fully Paid,moving,MA,30.46,0,655,659,9,0,17.3,13,12773.73
LC000059,40000,27689.65,36 months,21.77,1522.86,E,E5,8 years,MORTGAGE,45183.86,2022-02-19,Current,home_improvement,NY,14.61,0,608,612,13,0,45.1,14,9641.47
LC000060,20000,20000,36 months,25.93,805.07,F,F1,7 years,MORTGAGE,47728.79,2023-08-29,Charged Off,debt_consolidation,GA,10.28,0,611,615,16,0,34.3,18,6288.82
LC000061,35000,33543.06,60 months,15.1,834.49,C,C3,2 years,MORTGAGE,51426.68,2024-10-04,Current,credit_card,NY,6.83,0,751,755,4,0,38.6,12,6243.67
LC000062,10000,10000,36 months,13.24,338.1,C,C4,3 years,RENT,20068.48,2022-10-01,Fully Paid,debt_consolidation,VA,32.71,0,645,649,23,1,99.6,25,5100.79
LC000063,10000,10000,60 months,17.18,249.49,D,D2,5 years,RENT,45616.47,2019-09-24,Fully Paid,small_business,MA,22.77,0,849,853,3,0,61.7,15,9116.36
LC000064,40000,36337.82,36 months,9.32,1277.95,B,B4,2 years,MORTGAGE,87826.93,2021-02-28,Current,vacation,IN,38.8,0,820,824,8,1,98.3,22,17469.61
LC000065,30000,30000,36 months,6.94,925.49,A,A3,< 1 year,OWN,28579.93,2022-11-27,Fully Paid,auto,MA,34.61,0,643,647,11,0,44.9,15,17936.29
LC000066,10000,10000,36 months,11.44,329.47,B,B3,3 years,RENT,53615.45,2023-04-06,Fully Paid,debt_consolidation,NY,32.7,0,650,654,3,0,69.5,7,11019.56
LC000067,25000,25000,36 months,12.95,841.75,C,C5,9 years,MORTGAGE,61500.55,2023-10-12,Charged Off,small_business,MI,13.35,0,814,818,4,1,59.6,4,5292.24
LC000068,30000,30000,36 months,12.27,1000.3,C,C2,5 years,MORTGAGE,69856.11,2022-03-10,Fully Paid,debt_consolidation,VA,22.76,0,839,843,19,0,4.3,31,11680.53
LC000069,30000,26866.64,36 months,12.53,1004.04,C,C1,< 1 year,RENT,144268.06,2018-09-16,Current,moving,TX,16.85,0,669,673,23,0,63.1,27,14278.93
LC000070,40000,29924.06,60 months,9.39,837.93,B,B3,2 years,RENT,201414.82,2022-11-25,Current,moving,WA,11.69,1,762,766,3,0,12.4,14,8932.75
LC000071,35000,30219.25,36 months,20.32,1306.44,E,E5,< 1 year,RENT,48140.66,2024-10-04,Current,small_business,MA,33.78,0,730,734,12,0,29.5,26,16528.85
LC000072,15000,14616.18,36 months,15.81,525.95,C,C4,7 years,RENT,72060.44,2022-04-18,Current,debt_consolidation,WI,26.27,0,804,808,3,0,64.5,14,3262.45
LC000073,30000,30000,36 months,18.6,1093.62,D,D5,2 years,RENT,36647.03,2023-01-02,Fully Paid,medical,TN,8.97,0,675,679,17,1,11.8,25,33701.75
LC000074,25000,18342.57,60 months,15.57,602.25,C,C4,5 years,MORTGAGE,98287.51,2020-08-27,Current,debt_consolidation,VA,29.91,0,669,673,13,0,20.1,17,10818.58
LC000075,40000,28652.37,60 months,6.84,789.03,A,A1,2 years,RENT,32244.05,2019-06-10,Current,vacation,MD,33.82,3,617,621,6,0,45.0,17,15656.44
LC000076,15000,15000,60 months,6.13,290.9,A,A1,2 years,MORTGAGE,61225.15,2019-05-28,Fully Paid,vacation,NY,17.11,1,845,849,11,0,63.4,19,12152.55
LC000077,30000,30000,36 months,15.37,1045.4,C,C2,8 years,OWN,97476.87,2024-06-01,Fully Paid,debt_consolidation,TN,33.88,0,594,598,4,0,57.6,10,13428.18
LC000078,35000,26512.15,36 months,25.78,1406.07,F,F4,5 years,RENT,19227.3,2021-07-31,Current,credit_card,WA,7.1,0,805,809,15,0,60.6,25,1689.1
LC000079,10000,7486.85,60 months,8.68,206.03,B,B1,4 years,MORTGAGE,45926.46,2020-02-17,Current,moving,IN,35.25,2,794,798,9,1,81.3,19,404.51
LC000080,40000,31236.34,60 months,10.59,861.54,B,B4,9 years,MORTGAGE,52423.07,2022-02-07,Current,credit_card,TX,28.54,0,726,730,19,0,13.4,27,6794.35
LC000081,25000,25000,36 months,11.39,823.09,B,B4,< 1 year,MORTGAGE,60809.03,2019-08-14,Fully Paid,vacation,WA,26.39,0,645,649,5,0,33.9,16,3667.42
LC000082,15000,11877.77,36 months,17.31,537.11,D,D4,6 years,MORTGAGE,61052.23,2023-04-30,Current,credit_card,NJ,10.69,0,733,737,20,0,53.2,29,5678.2
LC000083,20000,20000,36 months,18.89,732.01,D,D1,3 years,RENT,67048.91,2020-02-21,Fully Paid,credit_card,AZ,10.97,1,774,778,6,0,57.2,9,11849.06
LC000084,40000,40000,36 months,18.1,1448.1,D,D4,3 years,MORTGAGE,41277.54,2024-11-03,Charged Off,auto,NC,11.06,0,755,759,19,0,72.0,27,22595.65
LC000085,40000,40000,36 months,25.9,1609.49,F,F3,1 year,RENT,105598.13,2021-11-14,Default,small_business,MI,37.68,0,720,724,11,0,37.9,23,8312.72
LC000086,25000,25000,60 months,11.77,553.21,B,B3,2 years,RENT,78426.46,2018-08-04,Fully Paid,credit_card,TN,9.8,0,702,706,9,1,22.5,16,2655.44
LC000087,40000,38678.45,36 months,13.91,1365.36,C,C2,2 years,MORTGAGE,17516.69,2024-01-01,Current,debt_consolidation,PA,38.74,0,744,748,11,1,8.9,18,843.34
LC000088,25000,16633.55,36 months,19.51,922.86,D,D4,1 year,RENT,20496.14,2019-07-04,Current,moving,NC,24.88,0,634,638,12,2,54.3,27,7296.66
LC000089,25000,25000,60 months,14.27,585.21,C,C2,3 years,RENT,31927.87,2019-07-30,Fully Paid,auto,CA,11.14,0,787,791,15,0,66.9,20,15902.07
LC000090,5000,5000,36 months,9.42,159.98,B,B3,3 years,MORTGAGE,32433.96,2019-04-26,Charged Off,medical,VA,13.27,0,640,644,16,0,50.2,25,2872.08
LC000091,35000,33300.54,60 months,14.81,829.16,C,C4,8 years,RENT,102639.48,2023-12-04,Current,home_improvement,MD,31.51,0,691,695,9,0,78.7,23,4039.16
LC000092,10000,10000,60 months,14.72,236.43,C,C2,6 years,MORTGAGE,44029.98,2024-04-28,Fully Paid,moving,MI,22.11,1,841,845,16,0,51.3,30,4053.49
LC000093,30000,30000,36 months,7.45,932.5,A,A2,6 years,OWN,64238.57,2022-03-14,Default,education,MA,7.11,0,615,619,17,0,76.8,30,6761.62
LC000094,20000,20000,60 months,19.34,522.56,D,D5,1 year,RENT,53899.86,2020-10-10,Charged Off,small_business,NC,39.25,0,817,821,23,0,37.9,30,386.61
LC000095,5000,5000,36 months,12.98,168.42,C,C5,2 years,RENT,79434.21,2024-06-23,Charged Off,credit_card,GA,20.36,0,691,695,3,2,23.4,13,2957.09
LC000096,15000,15000,36 months,14.5,516.31,C,C4,7 years,MORTGAGE,49899.61,2022-07-31,Fully Paid,education,PA,22.35,0,756,760,22,0,31.8,35,5837.43
LC000097,15000,15000,36 months,9.86,483.02,B,B2,9 years,RENT,315263.38,2018-07-31,Fully Paid,debt_consolidation,NY,16.56,1,620,624,16,0,72.4,22,14537.49
LC000098,10000,10000,60 months,14.99,237.85,C,C4,8 years,RENT,44126.01,2023-03-25,Charged Off,credit_card,MI,37.01,2,684,688,14,0,77.5,26,5296.87
LC000099,20000,20000,36 months,13.48,678.51,C,C4,3 years,RENT,83294.4,2021-04-24,Fully Paid,credit_card,GA,24.69,0,693,697,25,0,93.4,38,13983.24
LC000100,40000,40000,60 months,13.84,927.42,C,C3,6 years,MORTGAGE,18643.58,2023-11-17,Fully Paid,home_improvement,TX,17.33,0,651,655,25,0,88.8,26,10599.59
LC000101,40000,40000,36 months,14.64,1379.57,C,C1,1 year,RENT,60345.73,2018-03-12,Fully Paid,education,PA,23.63,0,790,794,2,0,53.5,11,29170.5
LC000102,25000,25000,36 months,11.28,821.79,B,B5,< 1 year,MORTGAGE,67697.68,2018-05-10,Fully Paid,education,WA,38.58,0,815,819,20,0,30.0,22,21602.44
LC000103,30000,30000,60 months,18.26,766.05,D,D1,9 years,OWN,59861.3,2021-01-15,Fully Paid,home_improvement,NC,8.34,0,850,854,3,1,69.2,18,26691.93
LC000104,35000,35000,36 months,7.37,1086.63,A,A3,9 years,MORTGAGE,40341.89,2019-02-05,Fully Paid,home_improvement,NJ,18.43,0,651,655,24,0,97.3,25,43604.05
LC000105,40000,23085.54,36 months,10.22,1294.82,B,B3,10+ years,RENT,34364.2,2020-10-06,Current,home_improvement,NC,37.94,0,801,805,7,0,8.6,16,5396.78
LC000106,15000,15000,36 months,8.81,475.67,B,B1,8 years,MORTGAGE,50789.91,2022-04-27,Fully Paid,education,WA,24.49,0,842,846,15,0,55.4,25,17793.74
LC000107,15000,15000,36 months,24.83,595.05,F,F5,3 years,MORTGAGE,63419.5,2022-01-19,Fully Paid,auto,TN,22.26,0,612,616,7,0,48.4,9,9741.51
LC000108,35000,26092.63,36 months,7.81,1093.71,A,A1,10+ years,MORTGAGE,106565.13,2019-12-29,Current,credit_card,MI,16.72,0,649,653,11,1,20.1,21,9015.72
LC000109,30000,24500.04,36 months,8.9,952.6,B,B4,2 years,MORTGAGE,24833.25,2022-12-01,Current,home_improvement,AZ,25.73,1,672,676,23,0,72.6,29,3557.72
LC000110,40000,31264.41,36 months,14.33,1373.53,C,C4,< 1 year,MORTGAGE,78257.89,2019-03-24,Current,credit_card,PA,37.32,0,794,798,19,1,70.1,21,12099.91
LC000111,5000,5000,36 months,12.39,167.0,C,C3,1 year,RENT,120739.9,2021-11-13,Default,moving,FL,31.14,0,693,697,16,0,67.9,20,348.21
LC000112,20000,20000,36 months,22.08,764.64,E,E2,8 years,MORTGAGE,49117.04,2021-11-06,Charged Off,small_business,GA,8.42,0,811,815,12,0,71.0,12,1921.63
LC000113,15000,8902.2,60 months,12.75,339.38,C,C4,8 years,RENT,40676.54,2021-02-14,Current,home_improvement,MD,18.85,0,681,685,16,0,70.4,22,1741.19
LC000114,30000,30000,36 months,14.39,1031.02,C,C3,4 years,RENT,79762.67,2024-11-21,Charged Off,small_business,NJ,25.55,1,758,762,13,0,81.3,22,2105.08
LC000115,15000,15000,36 months,10.51,487.61,B,B2,3 years,MORTGAGE,60837.43,2024-12-12,Fully Paid,credit_card,CA,22.03,0,668,672,19,0,18.7,33,16173.89
LC000116,40000,40000,60 months,26.49,1209.25,F,F5,7 years,MORTGAGE,74773.02,2020-07-09,Charged Off,small_business,MA,22.1,0,622,626,20,0,29.2,28,13193.43
LC000117,30000,21586.05,60 months,6.9,592.62,A,A1,1 year,RENT,38724.94,2021-05-04,Current,debt_consolidation,MA,31.6,0,805,809,19,0,73.5,26,12873.37
LC000118,30000,30000,36 months,19.44,1106.37,D,D2,4 years,RENT,23192.14,2024-09-10,Charged Off,credit_card,MI,19.99,1,651,655,8,0,57.0,16,17143.15
LC000119,25000,25000,36 months,15.47,872.4,C,C1,1 year,RENT,55237.18,2023-06-28,Fully Paid,medical,AZ,35.31,0,707,711,6,0,76.1,18,21508.83
LC000120,30000,30000,36 months,21.82,1142.92,E,E1,5 years,MORTGAGE,42913.38,2023-12-30,Charged Off,education,OH,25.37,3,627,631,25,0,69.7,27,14910.19
LC000121,5000,2706.05,60 months,8.93,103.62,B,B5,4 years,MORTGAGE,116167.74,2019-10-14,Current,medical,NY,20.45,0,580,584,15,0,13.2,24,1078.92
LC000122,20000,20000,36 months,13.72,680.84,C,C1,6 years,OTHER,52678.98,2018-02-08,Fully Paid,credit_card,FL,8.33,0,689,693,17,0,51.9,31,18656.74
LC000123,10000,10000,36 months,12.41,334.1,C,C2,10+ years,MORTGAGE,41252.67,2024-11-04,Charged Off,moving,VA,15.47,0,775,779,6,0,6.8,6,4489.61
LC000124,10000,10000,36 months,23.59,390.18,E,E5,10+ years,OWN,187730.66,2018-12-12,Fully Paid,medical,CA,9.31,2,776,780,13,0,14.0,21,11509.93
LC000125,25000,17335.48,60 months,10.76,540.57,B,B5,2 years,OWN,61845.4,2023-12-04,Current,debt_consolidation,VA,32.78,0,702,706,17,0,63.7,19,8726.4
LC000126,10000,6387.34,36 months,8.56,315.95,B,B5,2 years,MORTGAGE,116000.47,2022-10-01,Current,home_improvement,MO,14.18,2,600,604,3,0,28.6,16,1187.69
LC000127,10000,10000,36 months,13.24,338.1,C,C2,2 years,RENT,41800.59,2021-06-20,Charged Off,small_business,FL,38.37,0,702,706,3,1,11.6,4,4209.0
LC000128,25000,25000,36 months,5.58,755.8,A,A3,7 years,MORTGAGE,65573.76,2021-01-19,Fully Paid,medical,MD,32.34,1,717,721,25,0,2.9,38,16155.93
LC000129,15000,15000,36 months,9.39,479.72,B,B4,2 years,OWN,86681.03,2020-09-28,Fully Paid,credit_card,WA,25.09,0,639,643,9,0,85.8,9,18260.88
LC000130,35000,35000,36 months,20.9,1316.83,E,E5,1 year,OWN,148622.13,2020-01-05,Fully Paid,vacation,TX,37.05,1,743,747,10,0,11.9,11,40333.63
LC000131,5000,2559.78,36 months,21.48,189.61,E,E3,6 years,RENT,42981.88,2024-02-17,Current,auto,IL,32.46,0,704,708,16,1,99.7,22,831.74
LC000132,25000,18230.73,36 months,12.42,835.38,C,C1,5 years,MORTGAGE,146328.4,2020-08-06,Current,vacation,AZ,13.34,3,831,835,3,0,28.0,4,8180.85
LC000133,35000,35000,36 months,14.65,1207.3,C,C5,9 years,MORTGAGE,25748.94,2020-08-14,Fully Paid,auto,IL,15.21,0,741,745,14,0,31.8,22,8076.86
LC000134,30000,29526.0,36 months,8.38,945.36,A,A4,3 years,RENT,57007.59,2020-05-30,Current,credit_card,IL,15.79,0,715,719,5,0,30.4,6,7019.71
LC000135,40000,40000,36 months,6.95,1234.17,A,A3,10+ years,MORTGAGE,30475.81,2019-06-20,Fully Paid,education,VA,8.32,0,632,636,6,0,78.0,13,8033.89
LC000136,15000,15000,60 months,12.37,336.48,C,C1,3 years,RENT,111336.53,2022-06-06,Fully Paid,education,AZ,33.31,2,642,646,3,0,92.3,16,17849.48
LC000137,25000,16800.43,60 months,10.25,534.26,B,B4,7 years,MORTGAGE,68565.08,2024-02-05,Current,education,VA,21.77,0,624,628,10,0,64.2,17,5701.91
LC000138,20000,20000,60 months,8.6,411.3,B,B3,< 1 year,MORTGAGE,40005.8,2019-02-15,Fully Paid,auto,NC,14.83,0,821,825,18,0,23.3,23,20337.19
LC000139,15000,15000,36 months,20.7,562.82,E,E5,7 years,RENT,27594.44,2024-04-25,Late (31-120 days),moving,MO,33.22,0,763,767,20,0,94.7,24,341.67
LC000140,5000,5000,36 months,6.16,152.47,A,A5,5 years,OWN,35978.14,2018-03-31,Fully Paid,small_business,FL,33.23,0,754,758,24,0,86.7,25,6263.35
LC000141,30000,30000,36 months,8.98,953.71,B,B4,4 years,RENT,66917.21,2020-07-03,Charged Off,small_business,WA,38.2,0,829,833,22,0,56.1,33,2292.27
LC000142,20000,20000,36 months,18.56,728.68,D,D5,1 year,RENT,182088.98,2021-10-07,Charged Off,medical,OH,22.37,0,749,753,25,0,31.9,27,4205.77
LC000143,35000,35000,60 months,19.88,924.95,D,D1,4 years,RENT,30033.86,2019-10-29,Charged Off,debt_consolidation,MI,22.26,0,773,777,13,0,47.9,20,19984.9
LC000144,10000,10000,60 months,6.91,197.59,A,A2,6 years,OTHER,89015.17,2019-10-06,Fully Paid,credit_card,OH,8.26,0,827,831,24,1,16.5,37,9366.36
LC000145,20000,20000,36 months,16.38,706.9,D,D5,1 year,MORTGAGE,45240.95,2020-03-28,Fully Paid,auto,PA,24.24,0,831,835,6,0,8.8,21,13365.7
LC000146,25000,13708.78,36 months,5.32,752.87,A,A4,10+ years,MORTGAGE,47236.24,2020-07-15,Current,debt_consolidation,IL,11.47,0,775,779,13,0,43.9,21,5495.64
LC000147,35000,35000,60 months,19.86,924.56,D,D4,9 years,MORTGAGE,79921.49,2023-08-19,Charged Off,vacation,MD,37.77,0,700,704,17,0,85.3,18,3096.4
LC000148,35000,35000,60 months,20.81,943.13,E,E4,< 1 year,MORTGAGE,34335.31,2024-03-28,Charged Off,credit_card,NC,10.18,2,712,716,12,1,6.7,24,16517.56
LC000149,15000,15000,36 months,12.59,502.45,C,C5,< 1 year,MORTGAGE,78609.94,2022-08-11,Fully Paid,moving,MD,31.54,0,631,635,5,0,28.6,16,4599.6
LC000150,5000,5000,60 months,9.89,105.96,B,B5,3 years,OTHER,81165.06,2021-05-26,Fully Paid,moving,FL,29.17,0,605,609,25,0,37.2,35,1306.31
LC000151,35000,19873.87,36 months,27.63,1440.74,F,F4,6 years,MORTGAGE,84635.52,2023-10-12,Current,home_improvement,MI,20.46,0,788,792,25,0,37.4,26,10151.12
LC000152,30000,30000,36 months,23.29,1165.83,E,E1,4 years,RENT,51557.86,2023-04-28,Charged Off,credit_card,VA,27.24,0,643,647,23,0,59.3,28,13481.3
LC000153,20000,20000,36 months,18.71,730.19,D,D3,6 years,MORTGAGE,43708.23,2020-07-05,Fully Paid,medical,NC,19.33,0,590,594,23,1,64.7,23,22438.07
LC000154,35000,35000,36 months,14.34,1202.0,C,C2,4 years,OWN,54803.48,2023-05-28,Fully Paid,medical,NJ,39.98,0,771,775,19,0,29.8,22,31057.02
